run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_classes,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
21a33364,eyepacs:train,2020-03-13 01:38:31,0:21:49,completed,base_loss=focal_loss batch_size=8 csv_train=train_artifact.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnext50_sws n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,focal_loss,8,train_artifact.csv,0.1,1,0,False,0.001,auc,resnext50_sws,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6600000262260437,0.8732650279998779,0.8218520283699036
d8d4e2c6,eyepacs:train,2020-03-13 01:26:13,0:12:18,completed,base_loss=focal_loss batch_size=8 csv_train=train_artifact.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnext50 n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,focal_loss,8,train_artifact.csv,0.1,1,0,False,0.001,auc,resnext50,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6449999809265137,0.8578919768333435,0.7679299712181091
bd864484,eyepacs:train,2020-03-13 01:12:16,0:13:56,completed,base_loss=focal_loss batch_size=8 csv_train=train_artifact.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnet50_sws n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,focal_loss,8,train_artifact.csv,0.1,1,0,False,0.001,auc,resnet50_sws,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6575000286102295,0.8641319870948792,0.7867270112037659
de243440,eyepacs:train,2020-03-13 01:01:18,0:10:58,completed,base_loss=focal_loss batch_size=8 csv_train=train_artifact.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnet50 n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,focal_loss,8,train_artifact.csv,0.1,1,0,False,0.001,auc,resnet50,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.5774999856948853,0.8716560006141663,0.7726590037345886
ba6309e8,eyepacs:train,2020-03-13 00:46:16,0:15:01,completed,base_loss=ce batch_size=8 csv_train=train_artifact.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,ce,8,train_artifact.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.637499988079071,0.8752480149269104,0.7972699999809265
6bb88c53,eyepacs:train,2020-03-13 00:10:48,0:35:28,completed,base_loss=ce batch_size=8 csv_train=train_artifact.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,ce,8,train_artifact.csv,0.1,1,0,False,0.0001,auc,resnext50,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6725000143051147,0.8754439949989319,0.806132972240448
7fc1f98e,eyepacs:train,2020-03-13 00:00:49,0:09:58,completed,base_loss=ce batch_size=8 csv_train=train_artifact.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,ce,8,train_artifact.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6675000190734863,0.8683969974517822,0.7648169994354248
b5ff874f,eyepacs:train,2020-03-12 23:35:55,0:24:53,completed,base_loss=ce batch_size=8 csv_train=train_artifact.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,ce,8,train_artifact.csv,0.1,1,0,False,0.0001,auc,resnet50,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6499999761581421,0.883499026298523,0.8362039923667908
fda1b6b6,eyepacs:train,2020-03-12 23:15:27,0:20:28,completed,base_loss=ce batch_size=8 csv_train=train_artifact.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnext50_sws n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,ce,8,train_artifact.csv,0.1,1,0,False,0.001,auc,resnext50_sws,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6549999713897705,0.8627960085868835,0.79796302318573
9bd3de3f,eyepacs:train,2020-03-12 22:52:14,0:23:13,completed,base_loss=ce batch_size=8 csv_train=train_artifact.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnext50 n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,ce,8,train_artifact.csv,0.1,1,0,False,0.001,auc,resnext50,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6625000238418579,0.8609960079193115,0.790037989616394
ede76fce,eyepacs:train,2020-03-12 22:28:22,0:23:52,completed,base_loss=ce batch_size=8 csv_train=train_artifact.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnet50_sws n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,ce,8,train_artifact.csv,0.1,1,0,False,0.001,auc,resnet50_sws,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6625000238418579,0.8669430017471313,0.8328379988670349
