run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_classes,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
72b3d699,eyepacs:train,2020-03-31 21:30:31,0:12:10,completed,base_loss=ce batch_size=8 csv_train=train_q_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_2.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,2,50,sgd,1/1,5,True,False,0,0.7350000143051147,0.783856987953186,0.0
5908292c,eyepacs:train,2020-03-31 21:24:20,0:06:10,completed,base_loss=ce batch_size=8 csv_train=train_q_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_2.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,2,50,sgd,1/1,5,True,False,0,0.7475000023841858,0.7797009944915771,0.0
7aef8f67,eyepacs:train,2020-03-31 21:08:26,0:15:54,completed,base_loss=ce batch_size=8 csv_train=train_q_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_2.csv,0.1,1,0,False,0.0001,auc,resnext50,2,50,sgd,1/1,5,True,False,0,0.7099999785423279,0.7717189788818359,0.0
9cb7d332,eyepacs:train,2020-03-31 20:54:02,0:14:23,completed,base_loss=ce batch_size=8 csv_train=train_q_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_2.csv,0.1,1,0,False,0.0001,auc,resnet50,2,50,sgd,1/1,5,True,False,0,0.7350000143051147,0.7837700247764587,0.0
fe239d27,eyepacs:train,2020-03-31 20:29:44,0:24:18,completed,base_loss=ce batch_size=8 csv_train=train_q_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_1.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,2,50,sgd,1/1,5,True,False,0,0.7599999904632568,0.8384019732475281,0.0
a46ff355,eyepacs:train,2020-03-31 20:21:30,0:08:13,completed,base_loss=ce batch_size=8 csv_train=train_q_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_1.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,2,50,sgd,1/1,5,True,False,0,0.7749999761581421,0.83502197265625,0.0
ff0dac67,eyepacs:train,2020-03-31 19:57:11,0:24:18,completed,base_loss=ce batch_size=8 csv_train=train_q_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_1.csv,0.1,1,0,False,0.0001,auc,resnext50,2,50,sgd,1/1,5,True,False,0,0.7450000047683716,0.8334550261497498,0.0
270e817d,eyepacs:train,2020-03-31 19:39:27,0:17:43,completed,base_loss=ce batch_size=8 csv_train=train_q_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_1.csv,0.1,1,0,False,0.0001,auc,resnet50,2,50,sgd,1/1,5,True,False,0,0.7350000143051147,0.8309490084648132,0.0
7702df43,eyepacs:dr_grade_quality,2020-03-31 19:39:26,3:39:37,completed,,,,,,,,,,,,,,,,,,,0,0.7400000095367432,0.8156700134277344,0.0
290de0ce,eyepacs:train,2020-03-31 19:24:41,0:09:22,completed,base_loss=ce batch_size=8 csv_train=train_q_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnext50_sws n_classes=2 n_epochs=50 optimizer=sgd oversample=1/1 patience=5 pretrained=yes save_model=no,ce,8,train_q_4.csv,0.1,1,0,False,0.0003,auc,resnext50_sws,2,50,sgd,1/1,5,True,False,0,0.7674999833106995,0.8174020051956177,0.0
